prob,id,alpha,gamma,shape1,shape2
blue,if2_hl,0.32,0.97,6.51,2.12
blue,if1_uh,0.12,0.91,4.01,2.42
blue,if1_hh,0.42,0.95,5.63,2.04
blue,if2_ul,0.23,0.96,2.42,1.24
blue,if2_ll,0.12,0.5,2.01,1.98
blue,if1_u-Lh,0.07,0.73,2.77,1.95
blue,if1_lh,0.39,0.05,1.52,2.08
blue,if2_u-Ll,0.22,0.71,3.13,1.77
ifbg,if2_hl,0.24,0.65,1.57,1.34
ifbg,if1_uh,0.36,0.91,3.74,1.78
ifbg,if1_hh,0.22,0.95,4.12,1.67
ifbg,if2_ul,0.22,0.67,2.17,1.67
ifbg,if2_ll,0.31,0.75,2.45,2.05
ifbg,if1_u-Lh,0.3,0.93,3.41,1.69
ifbg,if1_lh,0.23,0.79,4.85,2.93
ifbg,if2_u-Ll,0.22,0.5,2.03,1.48
ifnbg,if2_hl,0.41,0.15,3.31,3.7
ifnbg,if1_uh,0.53,0.16,1.49,1.53
ifnbg,if1_hh,0.27,0.38,2.36,2.07
ifnbg,if2_ul,0.45,0.18,2.89,3.4
ifnbg,if2_ll,0.48,0.07,1.03,1.62
ifnbg,if1_u-Lh,0.55,0.2,1.17,1.27
ifnbg,if1_lh,0.48,0.21,1.51,1.36
ifnbg,if2_u-Ll,0.47,0.08,3.17,4
