prob,id,alpha,gamma,shape1,shape2,sd
blue,independent_uh,0.07,0.86,3.33,2.58,NA
blue,independent_hh,0.28,0.88,2.57,1.13,NA
blue,independent_hl,0.43,0.95,4.2,1.73,NA
blue,independent_ul,0.09,0.66,3.13,2.22,NA
blue,independent_ll,0.42,0.03,1.05,1.62,NA
delta,independent_uh,NA,NA,NA,NA,0.04
delta,independent_hh,NA,NA,NA,NA,0.03
delta,independent_hl,NA,NA,NA,NA,0.05
delta,independent_ul,NA,NA,NA,NA,0.05
delta,independent_ll,NA,NA,NA,NA,0.05
green,independent_uh,0.27,0.84,2.7,1.24,NA
green,independent_hh,0.42,0.95,3.91,1.33,NA
green,independent_hl,0.11,0.36,2.09,2.25,NA
green,independent_ul,0.12,0.17,1.81,1.9,NA
green,independent_ll,0.14,0.21,1.83,2.14,NA
